id,nombre_comercial,razon_social,codigo_actividad,nombre_actividad,entidad,municipio,localidad,telefono,email,sitio_web,estrato_personal
26267,ABARROTES LA JACARANDA,,431110,COMERCIO AL POR MAYOR DE ABARROTES,AGUASCALIENTES,JESÚS MARÍA,MARAVILLAS,4493268362.0,ABLAJACARANDA@HOTMAIL.COM,,6 A 10 PERSONAS
50612,ABARROTES LOS PEQUES,,431110,COMERCIO AL POR MAYOR DE ABARROTES,AGUASCALIENTES,ASIENTOS,CIÉNEGA GRANDE,4961212628.0,ABARROTESLOSPEQUES@HOTMAIL.COM,,0 A 5 PERSONAS
43417,ABARROTES TELLEZ,,431110,COMERCIO AL POR MAYOR DE ABARROTES,AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,4492514182.0,ABARROTELLEZ@HOTMAIL.COM,,11 A 30 PERSONAS
12020,AGUACATES GETSI,AGUACATES GETSI,431130,COMERCIO AL POR MAYOR DE FRUTAS Y VERDURAS FRESCAS,AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,4499121675.0,AGUCATESJETSI@HOTMAIL.COM,,6 A 10 PERSONAS
9772086,AGUACATES PERIBAN,AGUACATES PERIBAN,431130,COMERCIO AL POR MAYOR DE FRUTAS Y VERDURAS FRESCAS,AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,4491940383.0,AGUACATESPERIBAN@LIVE.COM,,11 A 30 PERSONAS
6281881,ALMACEN RURAL AGUASCALIENTES,DICONSA,431110,COMERCIO AL POR MAYOR DE ABARROTES,AGUASCALIENTES,TEPEZALÁ,CARBONERAS,5645438976.0,MDELGADO@DICONSA.GOB.MX,WWW.DICONSA.GOB.MX,6 A 10 PERSONAS
12028,BODEGA CUATRO HERMANOS,,431130,COMERCIO AL POR MAYOR DE FRUTAS Y VERDURAS FRESCAS,AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,4491867102.0,BOD.CUATROHERMANOS@GMAIL.COM,,0 A 5 PERSONAS
9920538,BODEGA DE COMERCIALIZADORA DE GALLETAS SARITA,,431191,COMERCIO AL POR MAYOR DE PAN Y PASTELES,AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,4492110804.0,JORGEHERTO@HOTMAIL.COM,,0 A 5 PERSONAS
11117,BODEGA LA CORONITA,BODEGA LA CORONITA,431130,COMERCIO AL POR MAYOR DE FRUTAS Y VERDURAS FRESCAS,AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,4492414034.0,BODEGALACORONITA@HOTMAIL.COM,,11 A 30 PERSONAS
11771831,BODEGA OAXACA MAYA,,431212,COMERCIO AL POR MAYOR DE VINOS Y LICORES,AGUASCALIENTES,PABELLÓN DE ARTEAGA,PABELLÓN DE ARTEAGA,4651002426.0,CHRISPABELLON26@GMAIL.COM,,0 A 5 PERSONAS
